route_id,vdom_id,destination_network,mask_length,route_type,gateway,exit_interface_name,exit_interface_details,last_updated
858,1,192.168.10.175,32,FIB,n/a,mgmt,physical interface is up,2025-06-19 12:16:32.00416
859,1,192.168.10.255,32,FIB,n/a,mgmt,physical interface is up,2025-06-19 12:16:32.074805
860,1,169.254.0.64,26,FIB,n/a,havdlink,no info,2025-06-19 12:16:32.149536
861,1,192.168.10.0,24,FIB,n/a,mgmt,physical interface is up,2025-06-19 12:16:32.219165
862,13,10.2.128.0,17,BGP,172.16.255.39,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:32.265162
863,13,10.10.152.0,24,static,192.168.107.15,mgt,vlan interface with ip 192.168.107.253/24 is up,2025-06-19 12:16:32.355476
864,13,10.42.0.0,24,static,172.30.2.17,mgt,vlan interface with ip 172.30.2.22/29 is up,2025-06-19 12:16:32.445079
865,13,10.42.16.0,24,static,172.30.2.17,mgt,vlan interface with ip 172.30.2.22/29 is up,2025-06-19 12:16:32.506658
866,13,10.42.48.0,24,static,172.30.2.17,mgt,vlan interface with ip 172.30.2.22/29 is up,2025-06-19 12:16:32.58337
867,13,10.42.63.240,29,static,172.30.2.17,mgt,vlan interface with ip 172.30.2.22/29 is up,2025-06-19 12:16:32.627343
868,13,10.45.0.0,24,static,172.30.2.17,mgt,vlan interface with ip 172.30.2.22/29 is up,2025-06-19 12:16:32.695448
869,13,10.70.112.0,24,static,172.30.2.17,mgt,vlan interface with ip 172.30.2.22/29 is up,2025-06-19 12:16:32.940885
870,13,10.90.0.2,32,static,172.30.2.17,mgt,vlan interface with ip 172.30.2.22/29 is up,2025-06-19 12:16:33.11411
871,13,10.115.128.0,18,static,172.30.2.17,mgt,vlan interface with ip 172.30.2.22/29 is up,2025-06-19 12:16:33.289248
872,13,10.115.192.0,19,static,172.30.2.17,mgt,vlan interface with ip 172.30.2.22/29 is up,2025-06-19 12:16:33.57485
873,13,10.119.0.0,16,BGP,172.16.255.38,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:33.686999
874,13,10.120.0.0,16,BGP,172.16.255.37,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:33.924554
875,13,10.125.200.3,32,static,172.30.2.17,mgt,vlan interface with ip 172.30.2.22/29 is up,2025-06-19 12:16:34.121262
876,13,10.157.0.0,16,BGP,172.16.255.38,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:34.256453
877,13,10.160.0.0,16,BGP,172.16.255.37,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:34.343835
878,13,10.207.0.0,16,BGP,172.16.255.38,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:34.460145
879,13,10.208.0.0,16,BGP,172.16.255.41,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:34.643401
880,13,10.209.0.0,16,BGP,172.16.255.42,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:34.74228
881,13,10.210.0.0,16,BGP,172.16.255.37,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:34.918583
882,13,10.211.0.0,16,BGP,172.16.255.43,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:35.106452
883,13,10.212.0.0,16,BGP,172.16.255.44,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:35.229644
884,13,10.223.0.0,16,static,172.30.2.17,mgt,vlan interface with ip 172.30.2.22/29 is up,2025-06-19 12:16:35.417541
885,13,10.224.0.0,16,static,172.30.2.17,mgt,vlan interface with ip 172.30.2.22/29 is up,2025-06-19 12:16:35.561776
886,13,10.225.26.0,24,static,172.30.2.17,mgt,vlan interface with ip 172.30.2.22/29 is up,2025-06-19 12:16:35.664162
887,13,10.226.16.0,24,static,172.30.2.17,mgt,vlan interface with ip 172.30.2.22/29 is up,2025-06-19 12:16:35.720894
888,13,10.226.19.0,24,static,172.30.2.17,mgt,vlan interface with ip 172.30.2.22/29 is up,2025-06-19 12:16:35.761545
889,13,10.226.116.0,24,static,172.30.2.17,mgt,vlan interface with ip 172.30.2.22/29 is up,2025-06-19 12:16:35.829204
890,13,10.226.119.0,24,static,172.30.2.17,mgt,vlan interface with ip 172.30.2.22/29 is up,2025-06-19 12:16:35.870807
891,13,10.226.200.0,24,static,172.30.2.17,mgt,vlan interface with ip 172.30.2.22/29 is up,2025-06-19 12:16:35.919895
892,13,10.229.16.0,24,static,172.30.2.17,mgt,vlan interface with ip 172.30.2.22/29 is up,2025-06-19 12:16:35.983619
893,13,10.229.116.0,24,static,172.30.2.17,mgt,vlan interface with ip 172.30.2.22/29 is up,2025-06-19 12:16:36.021306
894,13,10.229.200.0,24,static,172.30.2.17,mgt,vlan interface with ip 172.30.2.22/29 is up,2025-06-19 12:16:36.065273
895,13,10.232.13.0,24,static,172.30.2.17,mgt,vlan interface with ip 172.30.2.22/29 is up,2025-06-19 12:16:36.14179
896,13,10.232.14.0,23,static,172.30.2.17,mgt,vlan interface with ip 172.30.2.22/29 is up,2025-06-19 12:16:36.240666
897,13,10.244.0.0,17,BGP,172.16.255.39,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:36.323894
898,13,78.141.132.0,23,BGP,172.16.255.43,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:36.468247
899,13,78.141.134.0,23,BGP,172.16.255.43,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:36.550079
900,13,78.141.136.0,23,BGP,172.16.255.41,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:36.619931
901,13,78.141.138.0,23,BGP,172.16.255.41,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:36.701454
902,13,78.141.140.0,23,BGP,172.16.255.42,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:36.770755
903,13,78.141.142.0,23,BGP,172.16.255.42,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:36.877341
904,13,78.141.144.0,23,BGP,172.16.255.42,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:36.957253
905,13,78.141.146.0,23,BGP,172.16.255.42,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:37.020419
906,13,78.141.148.0,23,BGP,172.16.255.42,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:37.11509
907,13,78.141.150.0,23,BGP,172.16.255.42,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:37.17389
908,13,78.141.152.0,23,BGP,172.16.255.42,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:37.271689
909,13,78.141.154.0,23,BGP,172.16.255.42,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:37.352686
910,13,78.141.156.0,23,BGP,172.16.255.44,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:37.522912
911,13,78.141.158.0,23,BGP,172.16.255.44,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:37.641095
912,13,78.141.164.0,24,BGP,172.16.255.40,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:37.824732
913,13,78.141.165.0,24,BGP,172.16.255.40,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:37.893883
914,13,78.141.166.0,24,BGP,172.16.255.40,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:37.978066
915,13,78.141.167.0,24,BGP,172.16.255.40,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:38.127597
916,13,78.141.168.0,24,BGP,172.16.255.40,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:38.217794
917,13,78.141.169.0,24,BGP,172.16.255.40,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:38.254159
918,13,78.141.170.0,24,BGP,172.16.255.40,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:38.287783
919,13,78.141.171.0,24,BGP,172.16.255.40,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:38.338449
920,13,78.141.172.0,24,BGP,172.16.255.40,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:38.379711
921,13,78.141.173.0,24,BGP,172.16.255.40,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:38.414483
922,13,78.141.174.0,24,BGP,172.16.255.40,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:38.469867
923,13,78.141.175.0,24,BGP,172.16.255.40,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:38.529436
924,13,78.141.185.200,30,connected,n/a,dsl,vlan interface with ip 78.141.185.202/30 is up,2025-06-19 12:16:38.709704
925,13,78.141.185.204,30,connected,n/a,dsl,vlan interface with ip 78.141.185.206/30 is up,2025-06-19 12:16:38.819778
926,13,83.99.4.0,23,BGP,172.16.255.44,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:38.933168
927,13,83.99.6.0,23,BGP,172.16.255.44,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:38.980587
928,13,83.99.8.0,25,BGP,172.16.255.41,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:39.245645
929,13,83.99.8.128,25,BGP,172.16.255.41,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:39.314139
930,13,83.99.10.0,25,BGP,172.16.255.41,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:39.501657
931,13,83.99.10.128,25,BGP,172.16.255.41,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:39.63439
932,13,83.99.12.0,22,BGP,172.16.255.41,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:39.714312
933,13,83.99.17.0,24,BGP,172.16.255.39,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:39.774637
934,13,83.99.18.0,24,BGP,172.16.255.39,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:39.935764
935,13,83.99.19.0,24,BGP,172.16.255.39,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:40.072081
936,13,83.99.20.0,24,BGP,172.16.255.39,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:40.168739
937,13,83.99.21.0,24,BGP,172.16.255.39,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:40.284377
938,13,83.99.22.0,24,BGP,172.16.255.43,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:40.409051
939,13,83.99.23.0,25,BGP,172.16.255.43,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:40.713052
940,13,83.99.23.128,25,BGP,172.16.255.43,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:44.170874
941,13,83.99.28.0,23,BGP,172.16.255.41,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:44.271543
942,13,83.99.30.0,23,BGP,172.16.255.41,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:44.35784
943,13,83.99.40.0,24,BGP,172.16.255.42,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:44.489486
944,13,83.99.41.0,24,BGP,172.16.255.42,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:44.580408
945,13,83.99.42.0,24,BGP,172.16.255.42,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:44.674896
946,13,83.99.43.0,24,BGP,172.16.255.42,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:44.785616
947,13,83.99.44.0,23,BGP,172.16.255.44,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:44.883648
948,13,83.99.46.0,23,BGP,172.16.255.44,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:44.983825
949,13,83.99.48.0,24,BGP,172.16.255.43,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:45.047662
950,13,83.99.49.0,24,BGP,172.16.255.43,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:45.183985
951,13,83.99.50.0,24,BGP,172.16.255.43,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:45.255019
952,13,83.99.51.0,24,BGP,172.16.255.43,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:45.325039
953,13,83.99.56.0,22,BGP,172.16.255.44,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:45.475799
954,13,83.99.65.0,24,BGP,172.16.255.39,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:45.553665
955,13,83.99.66.0,24,BGP,172.16.255.39,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:45.661878
956,13,83.99.67.0,24,BGP,172.16.255.39,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:45.739377
957,13,83.99.95.0,24,BGP,172.16.255.39,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:45.833795
958,13,83.99.100.0,23,BGP,172.16.255.41,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:45.925529
959,13,83.99.102.0,23,BGP,172.16.255.41,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:46.006988
960,13,83.99.104.0,24,BGP,172.16.255.40,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:46.063899
961,13,83.99.105.0,24,BGP,172.16.255.40,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:46.157736
962,13,83.99.106.0,24,BGP,172.16.255.40,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:46.259186
963,13,83.99.107.0,24,BGP,172.16.255.40,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:46.312538
964,13,83.99.108.0,24,BGP,172.16.255.40,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:46.449969
965,13,83.99.111.0,24,BGP,172.16.255.37,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:46.526331
966,13,83.99.116.0,23,BGP,172.16.255.41,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:46.639581
967,13,83.99.118.0,23,BGP,172.16.255.41,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:46.732883
968,13,83.99.124.0,23,BGP,172.16.255.41,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:46.794738
969,13,83.99.126.0,23,BGP,172.16.255.41,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:46.945077
970,13,87.240.192.0,22,BGP,172.16.255.42,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:47.081223
971,13,87.240.196.0,22,BGP,172.16.255.41,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:47.219493
972,13,87.240.200.0,23,BGP,172.16.255.44,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:47.342494
973,13,87.240.202.0,23,BGP,172.16.255.44,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:47.579421
974,13,87.240.204.0,23,BGP,172.16.255.43,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:47.648675
975,13,87.240.206.0,23,BGP,172.16.255.43,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:47.856341
976,13,87.240.208.0,24,BGP,172.16.255.40,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:47.916132
977,13,87.240.209.0,24,BGP,172.16.255.39,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:48.097519
978,13,87.240.212.0,23,BGP,172.16.255.42,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:48.168047
979,13,87.240.214.0,23,BGP,172.16.255.42,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:48.248345
980,13,87.240.216.0,23,BGP,172.16.255.44,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:48.338806
981,13,87.240.218.0,23,BGP,172.16.255.44,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:48.524459
982,13,87.240.220.0,23,BGP,172.16.255.44,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:48.651774
983,13,87.240.222.0,23,BGP,172.16.255.44,mgt,vlan interface with ip 172.16.255.33/28 is up,2025-06-19 12:16:48.787033
